t,x,y,z
0.58,-1.01509984534972,2.17312332416475,0
0.59,-1.01562364659053,2.17607724114228,0
0.6,-1.01615630721188,2.17902957342582,0
0.61,-1.01669782241982,2.18198029444442,0
0.62,-1.01724818734072,2.18492937764159,0
0.63,-1.01780739702131,2.18787679647561,0
0.64,-1.01837544642869,2.19082252441973,0
0.65,-1.01895233045042,2.19376653496242,0
0.66,-1.01953804389456,2.1967088016076,0
0.67,-1.02013258148969,2.1996492978749,0
0.68,-1.02073593788497,2.20258799729986,0
0.69,-1.0213481076502,2.20552487343422,0
0.7,-1.02196908527585,2.2084598998461,0
0.71,-1.02259886517314,2.21139305012029,0
0.72,-1.02323744167404,2.21432429785845,0
0.73,-1.02388480903137,2.21725361667939,0
0.74,-1.02454096141883,2.22018098021923,0
0.75,-1.02520589293106,2.22310636213175,0
0.76,-1.02587959758367,2.2260297360885,0
0.77,-1.02656206931332,2.22895107577916,0
0.78,-1.02725330197778,2.23187035491169,0
0.79,-1.02795328935596,2.23478754721258,0
0.8,-1.02866202514797,2.23770262642713,0
0.81,-1.0293795029752,2.24061556631966,0
0.82,-1.03010571638035,2.2435263406737,0
0.83,-1.03084065882751,2.24643492329233,0
0.84,-1.03158432370219,2.24934128799831,0
0.85,-1.03233670431142,2.25224540863438,0
0.86,-1.03309779388379,2.25514725906347,0
0.87,-1.03386758556948,2.25804681316896,0
0.88,-1.03464607244038,2.26094404485487,0
0.89,-1.03543324749011,2.26383892804614,0
0.9,-1.03622910363411,2.26673143668883,0
0.91,-1.03703363370967,2.2696215447504,0
0.92,-1.03784683047602,2.27250922621988,0
0.93,-1.0386686866144,2.27539445510817,0
0.94,-1.03949919472812,2.27827720544822,0
0.95,-1.0403383473426,2.28115745129529,0
0.96,-1.04118613690547,2.28403516672721,0
0.97,-1.04204255578665,2.28691032584454,0
0.98,-1.04290759627835,2.28978290277088,0
0.99,-1.04378125059523,2.29265287165304,0
1,-1.04466351087439,2.29552020666134,0
1.01,-1.04555436917551,2.29838488198977,0
1.02,-1.04645381748087,2.30124687185628,0
1.03,-1.04736184769543,2.30410615050297,0
1.04,-1.04827845164693,2.30696269219637,0
1.05,-1.04920362108595,2.3098164712276,0
1.06,-1.05013734768595,2.31266746191269,0
1.07,-1.05107962304342,2.31551563859273,0
1.08,-1.05203043867787,2.31836097563415,0
1.09,-1.05298978603197,2.32120344742894,0
1.1,-1.05395765647161,2.32404302839487,0
1.11,-1.05493404128596,2.32687969297573,0
1.12,-1.05591893168755,2.32971341564156,0
1.13,-1.05691231881239,2.33254417088888,0
1.14,-1.05791419371999,2.3353719332409,0
1.15,-1.05892454739349,2.33819667724779,0
1.16,-1.05994337073971,2.34101837748687,0
1.17,-1.06097065458924,2.34383700856285,0
1.18,-1.06200638969655,2.34665254510807,0
1.19,-1.06305056674002,2.34946496178273,0
1.2,-1.06410317632207,2.35227423327509,0
1.21,-1.0651642089692,2.35508033430173,0
1.22,-1.06623365513215,2.35788323960776,0
1.23,-1.0673115051859,2.36068292396704,0
1.24,-1.06839774942981,2.36347936218245,0
1.25,-1.06949237808769,2.36627252908605,0
1.26,-1.07059538130788,2.36906239953936,0
1.27,-1.07170674916336,2.37184894843356,0
1.28,-1.07282647165184,2.37463215068974,0
1.29,-1.07395453869581,2.37741198125909,0
1.3,-1.07509094014269,2.38018841512316,0
1.31,-1.07623566576486,2.38296142729406,0
1.32,-1.0773887052598,2.3857309928147,0
1.33,-1.07855004825017,2.388497086759,0
1.34,-1.07971968428388,2.39125968423215,0
1.35,-1.08089760283423,2.39401876037078,0
1.36,-1.08208379329994,2.39677429034323,0
